madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
80010,0,89041,0,0,,külhancılık,0,1,ğı,0,0,0,,,,,kulhancilik,,"[{'anlam_id': '104884', 'madde_id': '80010', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Külhancı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80011,0,89043,0,0,,masalcılık,0,1,ğı,0,0,0,,,,,masalcilik,,"[{'anlam_id': '104885', 'madde_id': '80011', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Masalcı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80012,0,89044,0,0,,medyacılık,0,1,ğı,0,0,0,,,,,medyacilik,,"[{'anlam_id': '104886', 'madde_id': '80012', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Medyacı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80013,0,89046,0,0,,onarıcılık,0,1,ğı,0,0,0,,,,,onaricilik,,"[{'anlam_id': '104887', 'madde_id': '80013', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Onarıcı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80014,0,89049,0,0,,piyasacılık,0,1,ğı,0,0,0,,,,,piyasacilik,,"[{'anlam_id': '104888', 'madde_id': '80014', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Piyasacı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80015,0,89050,0,0,,planyacılık,0,1,ğı,0,0,0,,,,,planyacilik,,"[{'anlam_id': '104889', 'madde_id': '80015', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Planyacı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80016,0,89051,0,0,,raspacılık,0,1,ğı,0,0,0,,,,,raspacilik,,"[{'anlam_id': '104890', 'madde_id': '80016', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Raspacı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80017,0,89052,0,0,,ricacılık,0,1,ğı,0,0,0,,,,,ricacilik,,"[{'anlam_id': '104891', 'madde_id': '80017', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Ricacı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80018,0,89053,0,0,,saçmacılık,0,1,ğı,0,0,0,,,,,sacmacilik,,"[{'anlam_id': '104892', 'madde_id': '80018', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Saçmacı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
80019,0,89054,0,0,,sağlamcılık,0,1,ğı,0,0,0,,,,,saglamcilik,,"[{'anlam_id': '104893', 'madde_id': '80019', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Sağlamcı olma durumu', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
