madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
72009,0,52917,3,0,,tüy düzmek,0,2,,0,0,0,,,,,tuy duzmek,,"[{'anlam_id': '88144', 'madde_id': '72009', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'hayvanın tüyü düzelmek', 'gos': '0'}, {'anlam_id': '88145', 'madde_id': '72009', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'iyi bir yaşayışa kavuştuğunu belirtecek biçimde güzel giyinmek', 'gos': '0', 'orneklerListe': [{'ornek_id': '28637', 'anlam_id': '88145', 'ornek_sira': '1', 'ornek': 'Akıllı kız Güner, ortaya çıkalı ne kadar oldu, daha dün bir bugün iki, baksana iyice tüyü düzmüş.', 'kac': '1', 'yazar_id': '34', 'yazar': [{'yazar_id': '34', 'tam_adi': 'Attila İlhan', 'kisa_adi': 'A. İlhan', 'ekno': '165'}]}], 'ozelliklerListe': [{'ozellik_id': '34', 'tur': '4', 'tam_adi': 'teklifsiz konuşmada', 'kisa_adi': 'tkz.', 'ekno': '45'}]}]","[{'madde_id': '72007', 'madde': 'tüy atmak', 'on_taki': None}, {'madde_id': '72008', 'madde': 'tüy dikmek', 'on_taki': '(üzerine) '}, {'madde_id': '72010', 'madde': 'tüy gibi', 'on_taki': None}, {'madde_id': '72011', 'madde': 'tüyleri diken diken olmak', 'on_taki': '(birinin) '}, {'madde_id': '72012', 'madde': 'tüylerini diken diken etmek', 'on_taki': '(birinin) '}, {'madde_id': '72013', 'madde': 'tüyleri ürpermek', 'on_taki': None}, {'madde_id': '72014', 'madde': 'tüyüne dokunmamak', 'on_taki': None}]"
72010,0,52917,4,0,,tüy gibi,0,1,,0,0,0,,,,,tuy gibi,,"[{'anlam_id': '88146', 'madde_id': '72010', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'çok hafif', 'gos': '0'}]","[{'madde_id': '72007', 'madde': 'tüy atmak', 'on_taki': None}, {'madde_id': '72008', 'madde': 'tüy dikmek', 'on_taki': '(üzerine) '}, {'madde_id': '72009', 'madde': 'tüy düzmek', 'on_taki': None}, {'madde_id': '72011', 'madde': 'tüyleri diken diken olmak', 'on_taki': '(birinin) '}, {'madde_id': '72012', 'madde': 'tüylerini diken diken etmek', 'on_taki': '(birinin) '}, {'madde_id': '72013', 'madde': 'tüyleri ürpermek', 'on_taki': None}, {'madde_id': '72014', 'madde': 'tüyüne dokunmamak', 'on_taki': None}]"
72011,0,52917,5,0,(birinin) ,tüyleri diken diken olmak,0,1,,0,0,0,,,,,tuyleri diken diken olmak,,"[{'anlam_id': '88147', 'madde_id': '72011', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'üşümekten veya korkmaktan vücuttaki kılların dipleri kabarıp kıllar dikilmek', 'gos': '0', 'orneklerListe': [{'ornek_id': '28638', 'anlam_id': '88147', 'ornek_sira': '1', 'ornek': 'Hayret! Bu tür yakıştırmalardan tüylerimin diken diken olduğunu sanırdım.', 'kac': '1', 'yazar_id': '193', 'yazar': [{'yazar_id': '193', 'tam_adi': 'Adalet Ağaoğlu', 'kisa_adi': 'A. Ağaoğlu', 'ekno': '412'}]}]}]","[{'madde_id': '72007', 'madde': 'tüy atmak', 'on_taki': None}, {'madde_id': '72008', 'madde': 'tüy dikmek', 'on_taki': '(üzerine) '}, {'madde_id': '72009', 'madde': 'tüy düzmek', 'on_taki': None}, {'madde_id': '72010', 'madde': 'tüy gibi', 'on_taki': None}, {'madde_id': '72012', 'madde': 'tüylerini diken diken etmek', 'on_taki': '(birinin) '}, {'madde_id': '72013', 'madde': 'tüyleri ürpermek', 'on_taki': None}, {'madde_id': '72014', 'madde': 'tüyüne dokunmamak', 'on_taki': None}]"
72012,0,52917,6,0,(birinin) ,tüylerini diken diken etmek,0,1,,0,0,0,,,,,tuylerini diken diken etmek,,"[{'anlam_id': '88148', 'madde_id': '72012', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'korkutmak, tiksindirmek', 'gos': '0', 'orneklerListe': [{'ornek_id': '28639', 'anlam_id': '88148', 'ornek_sira': '1', 'ornek': 'Ne vahşi, ne korkunç, insanın tüylerini diken diken eden bir ölü sessizliği var.', 'kac': '1', 'yazar_id': '35', 'yazar': [{'yazar_id': '35', 'tam_adi': 'Orhan Veli Kanık', 'kisa_adi': 'O. V. Kanık', 'ekno': '166'}]}]}]","[{'madde_id': '72007', 'madde': 'tüy atmak', 'on_taki': None}, {'madde_id': '72008', 'madde': 'tüy dikmek', 'on_taki': '(üzerine) '}, {'madde_id': '72009', 'madde': 'tüy düzmek', 'on_taki': None}, {'madde_id': '72010', 'madde': 'tüy gibi', 'on_taki': None}, {'madde_id': '72011', 'madde': 'tüyleri diken diken olmak', 'on_taki': '(birinin) '}, {'madde_id': '72013', 'madde': 'tüyleri ürpermek', 'on_taki': None}, {'madde_id': '72014', 'madde': 'tüyüne dokunmamak', 'on_taki': None}]"
72013,0,52917,7,0,,tüyleri ürpermek,0,1,,0,0,0,,,,,tuyleri urpermek,,"[{'anlam_id': '88149', 'madde_id': '72013', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'kötü bir olay, soğuk, gıcıklanma vb. sebeplerle korku veya tiksinti duymak', 'gos': '0', 'orneklerListe': [{'ornek_id': '28640', 'anlam_id': '88149', 'ornek_sira': '1', 'ornek': 'Görünce tüyleri ürperir, şeytan görmüş gibi kızar.', 'kac': '1', 'yazar_id': '23', 'yazar': [{'yazar_id': '23', 'tam_adi': 'Ömer Seyfettin', 'kisa_adi': 'Ö. Seyfettin', 'ekno': '152'}]}]}]","[{'madde_id': '72007', 'madde': 'tüy atmak', 'on_taki': None}, {'madde_id': '72008', 'madde': 'tüy dikmek', 'on_taki': '(üzerine) '}, {'madde_id': '72009', 'madde': 'tüy düzmek', 'on_taki': None}, {'madde_id': '72010', 'madde': 'tüy gibi', 'on_taki': None}, {'madde_id': '72011', 'madde': 'tüyleri diken diken olmak', 'on_taki': '(birinin) '}, {'madde_id': '72012', 'madde': 'tüylerini diken diken etmek', 'on_taki': '(birinin) '}, {'madde_id': '72014', 'madde': 'tüyüne dokunmamak', 'on_taki': None}]"
72014,0,52917,8,0,,tüyüne dokunmamak,0,1,,0,0,0,,,,,tuyune dokunmamak,,"[{'anlam_id': '88150', 'madde_id': '72014', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'dokunacak, zarar verecek en ufak bir davranışta bulunmamak', 'gos': '0'}]","[{'madde_id': '72007', 'madde': 'tüy atmak', 'on_taki': None}, {'madde_id': '72008', 'madde': 'tüy dikmek', 'on_taki': '(üzerine) '}, {'madde_id': '72009', 'madde': 'tüy düzmek', 'on_taki': None}, {'madde_id': '72010', 'madde': 'tüy gibi', 'on_taki': None}, {'madde_id': '72011', 'madde': 'tüyleri diken diken olmak', 'on_taki': '(birinin) '}, {'madde_id': '72012', 'madde': 'tüylerini diken diken etmek', 'on_taki': '(birinin) '}, {'madde_id': '72013', 'madde': 'tüyleri ürpermek', 'on_taki': None}]"
72015,0,52918,0,0,,tüy ağırlık,0,1,ğı,0,0,0,,,,,tuy agirlik,,"[{'anlam_id': '88151', 'madde_id': '72015', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tüy sıklet', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
72016,0,52919,0,0,,tüydürme,0,1,,0,0,0,,,,,tuydurme,,"[{'anlam_id': '88152', 'madde_id': '72016', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tüydürmek işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
72017,0,52920,0,0,,tüydürmek,0,2,,0,0,0,,,,,tuydurmek,,"[{'anlam_id': '88153', 'madde_id': '72017', 'anlam_sira': '1', 'fiil': '1', 'tipkes': '0', 'anlam': 'Çalmak, aşırmak', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '22', 'tur': '3', 'tam_adi': '-i', 'kisa_adi': '-i', 'ekno': '33'}, {'ozellik_id': '30', 'tur': '4', 'tam_adi': 'argo', 'kisa_adi': 'argo', 'ekno': '41'}]}, {'anlam_id': '88154', 'madde_id': '72017', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Uzaklaştırmak', 'gos': '0'}]",
72018,0,52921,0,0,,tüylendirme,0,1,,0,0,0,,,,,tuylendirme,,"[{'anlam_id': '88155', 'madde_id': '72018', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tüylendirmek işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
