madde_id,kac,kelime_no,cesit,anlam_gor,on_taki,madde,cesit_say,anlam_say,taki,cogul_mu,ozel_mi,lisan_kodu,lisan,telaffuz,birlesikler,font,madde_duz,gosterim_tarihi,anlamlarListe,atasozu
64008,0,52142,0,0,,torba,1,4,,0,0,0,,,"torba çay, torba kadro, torba yoğurdu, torbada keklik, ağ torba, idrar torbası, ip torba, kâğıt torba, buz torbası, çöp torbası, kum torbası, sidik torbası, yem torbası",,torba,,"[{'anlam_id': '86956', 'madde_id': '64008', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Genellikle pamuk ve kıldan dokunmuş, türlü boy ve biçimde, ağzı büzülüp bağlanabilen araç', 'gos': '0', 'orneklerListe': [{'ornek_id': '28299', 'anlam_id': '86956', 'ornek_sira': '1', 'ornek': 'Cüzdanı bir meşin torbaya sarmış, torbayı gömleğimin içine bağlamıştım.', 'kac': '1', 'yazar_id': '8', 'yazar': [{'yazar_id': '8', 'tam_adi': 'Reşat Nuri Güntekin', 'kisa_adi': 'R. N. Güntekin', 'ekno': '133'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}, {'anlam_id': '86957', 'madde_id': '64008', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Genellikle plastikten veya kâğıttan yapılmış, içine öteberi koymaya yarayan, çeşitli büyüklükte olabilen taşıma gereci, poşet', 'gos': '0'}, {'anlam_id': '86958', 'madde_id': '64008', 'anlam_sira': '3', 'fiil': '0', 'tipkes': '0', 'anlam': 'Vücutta meydana gelen şişlik', 'gos': '0'}, {'anlam_id': '86959', 'madde_id': '64008', 'anlam_sira': '4', 'fiil': '0', 'tipkes': '0', 'anlam': 'Er bezi, husye, testis', 'gos': '0'}]","[{'madde_id': '64009', 'madde': 'torbaya koymak', 'on_taki': None}]"
64009,0,52142,1,0,,torbaya koymak,0,1,,0,0,0,,,,,torbaya koymak,,"[{'anlam_id': '86960', 'madde_id': '64009', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'sağlamak, elde etmek', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '34', 'tur': '4', 'tam_adi': 'teklifsiz konuşmada', 'kisa_adi': 'tkz.', 'ekno': '45'}]}]",
64010,0,52143,0,0,,torba çay,0,1,,0,0,0,,,,,torba cay,,"[{'anlam_id': '86961', 'madde_id': '64010', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Sallama çay', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64011,0,52144,0,0,,torba kadro,0,1,,0,0,0,,,,,torba kadro,,"[{'anlam_id': '86962', 'madde_id': '64011', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Gereğinde yetkilinin uygun göreceği yerlerde ve miktarlarda kullanılmak için saklı bulundurulan kadroların tümü', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64012,0,52145,0,0,,torbalama,0,1,,0,0,0,,,,,torbalama,,"[{'anlam_id': '86963', 'madde_id': '64012', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Torbalamak işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64013,0,52146,0,0,,torbalamak,0,1,,0,0,0,,,,,torbalamak,,"[{'anlam_id': '86964', 'madde_id': '64013', 'anlam_sira': '1', 'fiil': '1', 'tipkes': '0', 'anlam': 'Torbaya koymak', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '22', 'tur': '3', 'tam_adi': '-i', 'kisa_adi': '-i', 'ekno': '33'}]}]",
64014,0,52147,0,0,,torbalanma,0,1,,0,0,0,,,,,torbalanma,,"[{'anlam_id': '86965', 'madde_id': '64014', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Torbalanmak işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64015,0,52148,0,0,,torbalanmak,0,2,,0,0,0,,,,,torbalanmak,,"[{'anlam_id': '86966', 'madde_id': '64015', 'anlam_sira': '1', 'fiil': '1', 'tipkes': '0', 'anlam': 'Torbalama işi yapılmak', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '23', 'tur': '3', 'tam_adi': 'nesnesiz', 'kisa_adi': 'nsz.', 'ekno': '34'}]}, {'anlam_id': '86967', 'madde_id': '64015', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Gevşeyip sarkmak', 'gos': '0', 'orneklerListe': [{'ornek_id': '28300', 'anlam_id': '86967', 'ornek_sira': '1', 'ornek': 'Yanakları torbalandı.', 'kac': '1', 'yazar_id': '0'}]}]",
64016,0,52149,0,0,,torba yoğurdu,0,1,,0,0,0,,,,,torba yogurdu,,"[{'anlam_id': '86968', 'madde_id': '64016', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Süzme yoğurt', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64017,0,52150,0,0,,toreador,0,2,,0,0,13,Fransızca toréadore,,,,toreador,,"[{'anlam_id': '86969', 'madde_id': '64017', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Boğa güreşçisi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}, {'anlam_id': '86970', 'madde_id': '64017', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Arenada boğa güreşine katılan herkes', 'gos': '0'}]",
64018,0,52151,0,0,,torero,0,1,,0,0,20,İspanyolca torero,,,,torero,,"[{'anlam_id': '86971', 'madde_id': '64018', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Boğa güreşçisi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64019,0,52152,0,0,,torik,0,1,ği,0,0,393,Rumca,,,,torik,,"[{'anlam_id': '86972', 'madde_id': '64019', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'İri palamut balığı (Palemye sarda)', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '53', 'tur': '1', 'tam_adi': 'hayvan bilimi', 'kisa_adi': 'hay. b.', 'ekno': '102'}]}]",
64020,0,52153,0,0,,torlak,0,3,ğı,0,0,0,,,,,torlak,,"[{'anlam_id': '86973', 'madde_id': '64020', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Genç, toy', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}, {'anlam_id': '86974', 'madde_id': '64020', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Henüz evcilleşmemiş, alışmamış (hergele)', 'gos': '0'}, {'anlam_id': '86975', 'madde_id': '64020', 'anlam_sira': '3', 'fiil': '0', 'tipkes': '0', 'anlam': 'Derviş', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64021,0,52154,0,0,,torluk,0,1,ğu,0,0,0,,,,,torluk,,"[{'anlam_id': '86976', 'madde_id': '64021', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Toyluk, acemilik', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64022,0,52155,0,0,,torna,0,1,,0,0,14,İtalyanca torna,,,,torna,,"[{'anlam_id': '86977', 'madde_id': '64022', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Ağaç veya metal eşyaya yuvarlak bir biçim vermek için kullanılan çarklı tezgâh', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64023,0,52156,0,0,,tornacı,0,1,,0,0,0,,,,,tornaci,,"[{'anlam_id': '86978', 'madde_id': '64023', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Torna işi yapan kimse, torna işçisi', 'gos': '0', 'orneklerListe': [{'ornek_id': '28301', 'anlam_id': '86978', 'ornek_sira': '1', 'ornek': 'Ben mis gibi tornacıyım, sanatımı bırakamam.', 'kac': '1', 'yazar_id': '1', 'yazar': [{'yazar_id': '1', 'tam_adi': 'Sait Faik Abasıyanık', 'kisa_adi': 'S. F. Abasıyanık', 'ekno': '8'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64024,0,52157,0,0,,tornacılık,0,1,ğı,0,0,0,,,,,tornacilik,,"[{'anlam_id': '86979', 'madde_id': '64024', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tornacının işi veya mesleği', 'gos': '0', 'orneklerListe': [{'ornek_id': '28302', 'anlam_id': '86979', 'ornek_sira': '1', 'ornek': 'Kendimi övmek gibi olmasın ama tornacılıktan anlarım, tesviyecilikten anlarım.', 'kac': '1', 'yazar_id': '40', 'yazar': [{'yazar_id': '40', 'tam_adi': 'Orhan Kemal', 'kisa_adi': 'O. Kemal', 'ekno': '171'}]}], 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64025,0,52158,0,0,,tornado,0,1,,0,0,20,İspanyolca tornado,torna'do,,,tornado,2019-05-14,"[{'anlam_id': '86980', 'madde_id': '64025', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Batı Afrika kıyılarında esen çok kuvvetli siklon', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '45', 'tur': '1', 'tam_adi': 'coğrafya', 'kisa_adi': 'coğ.', 'ekno': '94'}]}]",
64026,0,52159,0,0,,tornalama,0,1,,0,0,0,,,,,tornalama,,"[{'anlam_id': '86981', 'madde_id': '64026', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tornalamak işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64027,0,52160,0,0,,tornalamak,0,1,,0,0,0,,,,,tornalamak,,"[{'anlam_id': '86982', 'madde_id': '64027', 'anlam_sira': '1', 'fiil': '1', 'tipkes': '0', 'anlam': 'Torna ile işlemek', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '22', 'tur': '3', 'tam_adi': '-i', 'kisa_adi': '-i', 'ekno': '33'}]}]",
64028,0,52161,0,0,,tornalanma,0,1,,0,0,0,,,,,tornalanma,,"[{'anlam_id': '86983', 'madde_id': '64028', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tornalanmak işi', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64029,0,52162,0,0,,tornalanmak,0,1,,0,0,0,,,,,tornalanmak,,"[{'anlam_id': '86984', 'madde_id': '64029', 'anlam_sira': '1', 'fiil': '1', 'tipkes': '0', 'anlam': 'Torna ile işlenilmek', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '23', 'tur': '3', 'tam_adi': 'nesnesiz', 'kisa_adi': 'nsz.', 'ekno': '34'}]}]",
64030,0,52163,0,0,,tornalı,0,2,,0,0,0,,,,,tornali,,"[{'anlam_id': '86985', 'madde_id': '64030', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tornada işlenmiş', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '20', 'tur': '3', 'tam_adi': 'sıfat', 'kisa_adi': 'sf.', 'ekno': '31'}]}, {'anlam_id': '86986', 'madde_id': '64030', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Tornalanmış parçalarla yapılmış', 'gos': '0', 'orneklerListe': [{'ornek_id': '28303', 'anlam_id': '86986', 'ornek_sira': '1', 'ornek': 'Tornalı masa.', 'kac': '1', 'yazar_id': '0'}]}]",
64031,0,52164,0,0,,tornavida,0,1,,0,0,14,İtalyanca torno-vite,tornavi'da,yıldız tornavida,,tornavida,,"[{'anlam_id': '86987', 'madde_id': '64031', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Vidaları söküp takmakta kullanılan, ucu düz veya yıldız biçiminde alet', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64032,0,52165,0,0,,tornet,0,1,,0,0,13,Fransızca tournette,,,,tornet,,"[{'anlam_id': '86988', 'madde_id': '64032', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Bilyeli tekerlekler ve küçük bir sandıktan oluşan basit taşıma aracı', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}]}]",
64033,0,52166,0,0,,tornistan,1,2,,0,0,14,İtalyanca torno stante,,,,tornistan,,"[{'anlam_id': '86989', 'madde_id': '64033', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'Geminin pervanesini ters yönde çevirme', 'gos': '1', 'ozelliklerListe': [{'ozellik_id': '19', 'tur': '3', 'tam_adi': 'isim', 'kisa_adi': 'a.', 'ekno': '30'}, {'ozellik_id': '42', 'tur': '1', 'tam_adi': 'denizcilik', 'kisa_adi': 'den.', 'ekno': '91'}]}, {'anlam_id': '86990', 'madde_id': '64033', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'Ters yüz etme', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '33', 'tur': '4', 'tam_adi': 'halk ağzında', 'kisa_adi': 'hlk.', 'ekno': '44'}]}]","[{'madde_id': '64034', 'madde': 'tornistan etmek', 'on_taki': None}]"
64034,0,52166,1,0,,tornistan etmek,0,2,,0,0,0,,,,,tornistan etmek,,"[{'anlam_id': '86991', 'madde_id': '64034', 'anlam_sira': '1', 'fiil': '0', 'tipkes': '0', 'anlam': 'gemi geri dönmek', 'gos': '1', 'ozelliklerListe': [{'ozellik_id': '42', 'tur': '1', 'tam_adi': 'denizcilik', 'kisa_adi': 'den.', 'ekno': '91'}]}, {'anlam_id': '86992', 'madde_id': '64034', 'anlam_sira': '2', 'fiil': '0', 'tipkes': '0', 'anlam': 'bir giyeceği ters yüz etmek', 'gos': '0', 'ozelliklerListe': [{'ozellik_id': '33', 'tur': '4', 'tam_adi': 'halk ağzında', 'kisa_adi': 'hlk.', 'ekno': '44'}]}]",
